classifier,accuracy,sensitivity,specificity,f1,auc,TP,TN,FP,FN
LDA,0.7875,0.5517,0.9216,0.6531,0.7532,16,47,4,13
PassiveAggressive,0.7500,0.6207,0.8235,0.6429,0.7640,18,42,9,11
LogReg_C0.1,0.7500,0.6207,0.8235,0.6429,0.7620,18,42,9,11
SVM_linear_C1,0.7500,0.6207,0.8235,0.6429,0.7208,18,42,9,11
LogReg_C10,0.7375,0.6552,0.7843,0.6441,0.7478,19,40,11,10
SVM_linear_C0.1,0.7375,0.5862,0.8235,0.6182,0.7383,17,42,9,12
NearestCentroid,0.7250,0.6207,0.7843,0.6207,0.7559,18,40,11,11
LogReg_C1,0.7250,0.6207,0.7843,0.6207,0.7519,18,40,11,11
SVM_C1,0.7250,0.5862,0.8039,0.6071,0.7126,17,41,10,12
KNN_3,0.7250,0.4483,0.8824,0.5417,0.6200,13,45,6,16
SVM_C0.5,0.7125,0.6552,0.7451,0.6230,0.7275,19,38,13,10
LogReg_l1_C1,0.7125,0.5862,0.7843,0.5965,0.7208,17,40,11,12
Ridge_10,0.7000,0.6207,0.7451,0.6000,0.7559,18,38,13,11
Ridge,0.7000,0.6207,0.7451,0.6000,0.7444,18,38,13,11
LogReg_elasticnet_C0.1,0.7000,0.5172,0.8039,0.5556,0.6944,15,41,10,14
LogReg_l1_C0.1,0.7000,0.4483,0.8431,0.5200,0.6799,13,43,8,16
SVM_C10,0.7000,0.4483,0.8431,0.5200,0.6640,13,43,8,16
AdaBoost_100,0.7000,0.4138,0.8627,0.5000,0.6386,12,44,7,17
GaussianNB,0.7000,0.2759,0.9412,0.4000,0.6633,8,48,3,21
KNN_5,0.7000,0.2759,0.9412,0.4000,0.5974,8,48,3,21
SVM_poly3_C0.1,0.7000,0.2069,0.9804,0.3333,0.6687,6,50,1,23
KNN_7,0.7000,0.1724,1.0000,0.2941,0.5903,5,51,0,24
SGD_hinge,0.6875,0.7241,0.6667,0.6269,0.7451,21,34,17,8
Ridge_0.1,0.6875,0.6207,0.7255,0.5902,0.7390,18,37,14,11
RF_500,0.6875,0.3448,0.8824,0.4444,0.6832,10,45,6,19
SGD_perceptron,0.6750,0.5862,0.7255,0.5667,0.7586,17,37,14,12
ExtraTrees_100,0.6750,0.4138,0.8235,0.4800,0.6386,12,42,9,17
SVM_poly2_C0.1,0.6750,0.1724,0.9608,0.2778,0.6160,5,49,2,24
SVM_C0.1,0.6750,0.1379,0.9804,0.2353,0.7410,4,50,1,25
SGD_log,0.6625,0.6207,0.6863,0.5714,0.7522,18,35,16,11
GBM_200,0.6625,0.4828,0.7647,0.5091,0.6545,14,39,12,15
RF_100,0.6625,0.2759,0.8824,0.3721,0.6775,8,45,6,21
QDA,0.6625,0.2414,0.9020,0.3415,0.6214,7,46,5,22
DecisionTree,0.6500,0.5862,0.6863,0.5484,0.6366,17,35,16,12
GBM_100,0.6500,0.4138,0.7843,0.4615,0.6477,12,40,11,17
SGD_modified_huber,0.6375,0.7241,0.5882,0.5915,0.6562,21,30,21,8
